Data,Home,Away,Result,Netgoal,Goal_total,Home_goal,Away-goal,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22
2022-06-13,France,Croatia,L,1,1,0,1,37,129,290,160,265,390,398,497,61,1,4,3579,3228,2008,3324,1666,29,57,102,364,471,602
2022-06-14,Netherlands,Wales,W,1,5,3,2,428,1004,84,1796,472,397,42,511,173,2634,704,2154,3737,4261,3419,669,5636,8681,2404,1176,1483,892
2022-06-14,Poland,Belgium,L,1,1,0,1,51,565,6877,3829,3672,1992,1215,2132,2048,182,2,454,1225,258,336,773,130,587,437,95,867,119
2022-06-14,Japan,Tunisia,L,3,3,0,3,5742,607,1886,2790,3455,2340,821,381,822,2783,1678,15062,4392,4255,8081,4217,6176,2973,572,1144,2546,4128
2022-09-22,Croatia,Denmark,W,1,3,2,1,413,1666,3324,301,696,29,57,102,364,200,120,167,585,898,208,256,1169,1138,185,286,262,1349
2022-09-22,Belgium,Wales,W,1,3,2,1,6,9477,258,336,799,130,587,79,3,119,867,2154,4261,3419,6300,1788,2404,8681,4131,1483,892,2823
2022-09-22,Poland,Netherlands,L,2,2,0,2,51,1175,3829,3672,1370,786,2132,1992,182,2048,2,428,405,9,759,237,397,42,462,173,481,75
2022-09-23,Japan,United States,W,2,2,2,0,3038,1999,2790,607,9511,821,1335,822,381,2247,3185,897,996,1286,2804,6032,3984,1092,418,2189,1918,1003
2022-09-23,Brazil,Ghana,W,3,3,3,0,18,133,50,25,504,236,13,11,169,324,63,10488,3117,1108,889,5158,99,1463,3960,1541,1652,1789
2022-09-23,Canada,Qatar,W,2,2,2,0,865,4375,5748,4136,4549,4792,1336,4326,141,512,1942,6227,5537,6460,9282,10707,7036,4160,3505,10006,3300,1086
2022-09-23,Iran,Uruguay,W,1,1,1,0,3568,3353,14410,6635,3068,10316,2689,3143,4477,296,489,777,869,174,2375,1013,134,8984,549,4790,96,227
2022-09-23,Korea Republic,Costa Rica,D,0,4,2,2,5212,8885,517,4080,4043,2339,9291,1065,1181,12,4694,26,1966,6045,7826,4191,6255,4146,4224,9031,6580,4887
2022-09-23,Saudi Arabia,Ecuador,D,0,0,0,0,5540,5130,8806,9096,2805,8430,5546,6009,8032,1060,9808,2979,5570,689,5447,515,9016,3009,4427,990,1730,1758
2022-09-24,Spain,Switzerland,L,1,3,1,2,165,260,1017,172,71,531,72,82,232,589,304,89,922,320,937,2196,464,624,1148,393,1865,939
2022-09-25,Denmark,France,W,2,2,2,0,167,1005,898,256,1169,286,262,185,1138,1034,1331,283,412,317,1007,566,231,541,162,191,255,4
2022-09-25,Wales,Poland,L,1,1,0,1,2154,4360,3419,6300,1788,8195,9379,4131,1483,892,335,51,1175,3829,3672,2577,1215,786,182,1992,2284,2
2022-09-25,Netherlands,Belgium,W,1,1,1,0,428,405,9,759,237,493,272,462,641,2634,481,6,9477,258,336,799,2311,587,773,3,119,867
2022-09-26,England,Germany,D,0,6,3,3,330,194,435,307,136,124,142,433,83,47,10,27,1270,65,228,281,17,68,352,302,135,138
2022-09-27,Brazil,Tunisia,W,4,6,5,1,18,425,25,50,504,13,495,169,11,236,324,15062,4392,4255,8081,4217,6176,2973,572,1144,2546,4128
2022-09-27,Canada,Uruguay,L,2,2,0,2,865,4375,5748,4136,3463,4792,1336,4326,141,512,1942,777,869,2375,174,1013,363,549,134,707,96,227
2022-09-27,Ecuador,Japan,D,0,0,0,0,2979,5570,689,5447,515,9016,3009,4427,990,1730,1758,3038,1999,2790,607,9511,821,1335,822,381,2247,3185
2022-09-27,Iran,Senegal,D,0,2,1,1,3568,3353,14410,6635,3068,10316,2689,3143,4477,296,489,2022,9621,40,2638,3114,2096,248,906,1974,545,15
2022-09-27,Korea Republic,Cameroon,W,1,1,1,0,5212,8885,517,4080,4043,2339,9291,1065,1181,12,4694,217,4802,2220,112,5105,3057,6760,6712,1501,1717,1524
2022-09-27,Saudi Arabia,United States,D,0,0,0,0,5540,5130,8806,9096,2805,8430,5546,6009,8032,1060,9808,897,4819,1286,2804,996,3413,1092,418,1003,6104,244
2022-09-27,Portugal,Spain,L,1,1,0,1,603,24,20,431,403,157,490,23,53,87,8,165,104,1969,172,213,170,31,196,232,432,304
