feature,importance
purchase_lead,0.15323445888487433
flight_hour,0.12388650469859608
length_of_stay,0.11232609102859145
flight_day,0.07833821069319427
num_passengers,0.04767578836217232
flight_duration,0.03554610919403691
booking_origin_Malaysia,0.029353418783302568
wants_in_flight_meals,0.023038572068432104
booking_origin_Australia,0.01997266994709554
wants_preferred_seat,0.017738237784504406
wants_extra_baggage,0.01694194160255065
is_weekend,0.01660999718892042
sales_channel_Mobile,0.011395194219845594
route_PENTPE,0.007032120479399594
booking_origin_Indonesia,0.005309620716552249
route_AKLKUL,0.004485463310140178
route_ICNPEN,0.004398186198289634
booking_origin_South Korea,0.004150940003360545
booking_origin_Singapore,0.003864119294875854
booking_origin_Japan,0.003792729907641571
booking_origin_China,0.0037781483929888704
booking_origin_Thailand,0.0035236906215620565
booking_origin_Taiwan,0.002881146968244927
route_BKIICN,0.0027054425758413396
route_ICNLGK,0.002647513482554033
route_MELPEN,0.002458171528377479
route_JHBKTM,0.0023444008822478602
booking_origin_Vietnam,0.0023139993291989387
route_KIXPEN,0.0023095378077845514
route_HNDPEN,0.0022542480399030933
booking_origin_New Zealand,0.0021654557279490484
route_CGKKIX,0.0021324306752304803
route_ICNJHB,0.0020967251173023642
route_PENPER,0.0020690175420557417
booking_origin_United States,0.0020502046501622673
route_ICNSIN,0.002028516720092866
route_CGKHND,0.0020011869050130648
booking_origin_India,0.0019986056138302346
route_DMKKIX,0.001989636144328764
route_PENPVG,0.0019511169832625106
route_PENSYD,0.0019500921069985978
route_ICNKCH,0.0019382195627453628
route_PEKPEN,0.001850330596823497
booking_origin_Hong Kong,0.0016694013590025228
route_CGKMEL,0.001664760228375788
route_BKIMEL,0.001662995914254382
route_KCHPER,0.001659020681931643
route_JHBTPE,0.0016524942589939556
booking_origin_Philippines,0.0016369288437254736
route_KCHTPE,0.0015919970922730162
route_DPSKIX,0.0015493425538501042
route_CGKICN,0.001514104296491198
route_KTMPEN,0.0015015302978864473
route_KIXSIN,0.0014810730847205397
route_SGNSYD,0.0014759262795493759
route_DPSHND,0.001464988915788433
route_BKIPUS,0.0014620753094228304
route_OOLPEN,0.001452764211152446
route_ICNMLE,0.001447881101070509
booking_origin_Macau,0.0014466285555608843
route_KCHMEL,0.001434388352237429
route_CTSDMK,0.0013916743835469287
route_DPSPVG,0.0013848912632296816
route_HNDSIN,0.0013752820043916802
route_DPSICN,0.0013749683346395284
route_HKGMEL,0.001354061739435194
route_PENPUS,0.0013528098747281547
route_MELMNL,0.0013205206731006613
route_LGKTPE,0.0012340126837799817
route_DPSPEK,0.00122714014076094
route_CGKPVG,0.0012130313302374243
route_HNDKCH,0.0011889883763588187
route_DMKOOL,0.0011750337032069244
route_BKIHND,0.0011640541060982386
route_DMKPER,0.0011616157413471234
route_MELTPE,0.0011434651374467124
booking_origin_Cambodia,0.0011414471317922608
route_OOLSGN,0.0011366464458667698
route_BKIPER,0.0011253806297948702
route_SBWTPE,0.0011089612040465352
route_HKTICN,0.0010997435232926204
route_CGKSYD,0.0010877090731872697
route_DPSHGH,0.001085667285255498
route_ICNSYD,0.0010610411093572886
route_JHBPUS,0.0010600023678648905
route_CGKOOL,0.0010519899168625942
route_COKSYD,0.0010261997756194326
route_DMKSYD,0.0010243076218010173
route_BKISYD,0.001008448596756174
route_COKMEL,0.0010080810027358828
route_ICNMYY,0.0010031319363448686
route_BKIKIX,0.0009858531598889067
route_KCHPEK,0.0009623601263669479
route_MELSGN,0.0009593955813430489
route_HKTPEK,0.0009487730704206255
trip_type_RoundTrip,0.000940430575782776
route_PEKSIN,0.0009251282192486354
route_MYYPER,0.0009219531470436187
route_BKIPEK,0.0008924646746821377
route_PNHSYD,0.0008922826422190489
route_DMKICN,0.0008914277077900772
route_CTSPEN,0.0008904719619091418
route_HKTKIX,0.0008875355705829261
route_DMKMEL,0.0008707317565687725
route_KCHOOL,0.0008639128207074706
route_CTUPEN,0.000860039378763908
route_PERSGN,0.0008452557619284328
booking_origin_Brunei,0.0008393989607444882
route_HKGPER,0.0008393828305595429
route_JHBMEL,0.0008328620430745218
route_KCHPVG,0.0008310026187516691
route_HYDSYD,0.000828847540730046
route_JHBKIX,0.0008269606689989917
route_LGKPUS,0.0008209321970959242
route_BKIOOL,0.0008131533088377885
route_LGKPEK,0.0008093971502027216
route_KCHPUS,0.0008078421803457178
route_CGKPEK,0.0008065978007002816
route_KTMMFM,0.0007939650009806745
route_DMKHND,0.0007771329586655313
booking_origin_United Kingdom,0.0007763912054795794
route_MELSBW,0.0007746231778520306
route_KIXSUB,0.0007735549811391032
route_PEKTWU,0.0007658091305768602
route_CGKKTM,0.0007640309332151093
route_HKTPER,0.0007572615200973037
route_BDOKIX,0.0007498844738980176
route_BLRMEL,0.0007481065565950607
route_PVGSUB,0.0007420938500406693
route_CGKTPE,0.0007403691155234202
route_HNDPER,0.0007169692352114047
route_HNDPNH,0.0007139393969735763
route_CGKPUS,0.0007134304539645624
route_MELMFM,0.0007114997941718249
route_COKPER,0.000710270854796545
route_PVGSIN,0.0007096753089861455
route_CNXMEL,0.0007039160239762603
route_LGKPVG,0.0006962930242408355
route_KCHKIX,0.0006949904401051595
route_BTUPER,0.0006915874326673197
route_HKTPVG,0.0006912878263641509
booking_origin_France,0.0006773685114061262
route_DMKPEK,0.0006762981244646456
route_JHBPVG,0.0006720168134575805
route_MAASYD,0.0006651602277419245
route_BTUICN,0.000649306874203238
trip_type_OneWay,0.0006477117997708481
route_TGGTPE,0.0006463930589003976
route_KNOTPE,0.000645252529990575
route_HKGSYD,0.0006421643940756764
route_CEBMEL,0.0006338266410344452
route_PUSSIN,0.0006241767423143256
route_MNLPER,0.0006232252640622042
route_HKTOOL,0.000620371210855042
route_ICNSBW,0.0006135083758810219
route_HDYOOL,0.0006103160493112429
route_HNDREP,0.0006021953881861872
route_MELPNH,0.0005994070042575542
route_HKGOOL,0.0005977839614573173
route_HKTSYD,0.0005932908398876258
booking_origin_Saudi Arabia,0.0005923584199450443
route_CGKPER,0.00059053224175971
route_HNDMEL,0.0005884565985241466
route_MELMYY,0.0005793030158663879
route_CMBMEL,0.0005790302065634923
route_KCHSYD,0.0005782213215883298
route_PERPNH,0.0005777016275727331
route_CCUMEL,0.0005759688592118301
route_CTSSIN,0.000568812467150092
route_HKTHND,0.0005661845944275244
route_CCUSYD,0.0005661193508967546
route_JHBPEK,0.0005656621295706364
route_KIXSGN,0.0005636676492902934
route_HNDSUB,0.0005579140348444293
route_KBRTPE,0.0005549203723793806
route_HGHPEN,0.000553991258216007
route_SINSYD,0.0005527657279198859
route_HANOOL,0.0005526978617650443
booking_origin_Germany,0.0005487363331112449
route_MNLSYD,0.0005450356855735936
route_KIXREP,0.0005348062197918133
route_DPSTPE,0.0005347767108424494
route_KIXSYD,0.0005320082561281533
route_MELPEK,0.000529058951550948
route_KBRMEL,0.0005255281795770102
route_PERSBW,0.0005244625153833183
route_CNXHND,0.0005211540813892307
route_HNDKNO,0.0005163530824605796
route_CGKCTS,0.0005140115402751614
route_BKICTS,0.0005139719664354328
route_CTUTWU,0.0005115381945055414
booking_origin_Myanmar (Burma),0.000509289899914599
route_KNOPEK,0.0005068929634353218
route_DPSPUS,0.0005036875443308814
route_HANSYD,0.000500326509787547
route_ICNKNO,0.0005000793083379932
route_ICNKBR,0.0004983498384282642
route_MYYPUS,0.0004909948284153915
route_COKHGH,0.0004896459629520444
route_ICNPER,0.00048745472704203705
route_KBVPVG,0.0004810525790861745
route_CTUDPS,0.0004796276192644997
route_BKICTU,0.0004782976685660213
route_PVGSYD,0.0004753349350500837
route_MELSIN,0.00047261622955512277
route_CNXKIX,0.0004651240171343775
route_CRKOOL,0.00046445668191800587
route_JHBSYD,0.0004613137236603793
route_DPSMEL,0.00045660036574748155
route_KIXPNH,0.0004565142342459899
route_AORMEL,0.00045485279875305247
route_CTSJHB,0.000451629355959892
route_HNDSGN,0.0004497510573011283
route_MAAMEL,0.00044956783474530695
route_BWNPER,0.00044667676118118857
route_CGKDEL,0.00044485782825977885
route_AORICN,0.0004440589024929052
route_KBVPEK,0.0004440026748494565
route_CEBOOL,0.0004434685229820172
route_CANPER,0.0004409460467703253
route_HNDLGK,0.00044042400183837404
route_BDOMEL,0.00043674493808558987
route_DMKTPE,0.00043580795845218163
booking_origin_Italy,0.00043544339950021897
route_DELDPS,0.0004272298130245586
route_PENXIY,0.0004267359194641174
route_BDOICN,0.0004266116534835902
route_CNXPEK,0.00042538826304596453
route_CTUHKT,0.0004251408427949544
route_CNXOOL,0.00042444773421992487
route_DELMNL,0.000423111780924352
route_BDOPVG,0.0004197414156114877
route_HGHHKT,0.0004171479636759224
route_JOGKIX,0.00041643730191438024
route_PEKTGG,0.0004161961661739056
route_KBRKIX,0.0004147929109564966
route_HKTTPE,0.00041371722317375966
route_MNLOOL,0.0004133949664700778
route_MRUPEK,0.0004091009786702875
route_MAATPE,0.0004075805543460973
route_KIXMYY,0.0004030999929147867
route_PERPVG,0.0004009021203397109
route_DADMEL,0.00039961854256424746
route_BLRPER,0.00039853200163898886
route_OOLPNH,0.0003969179758277339
route_PERTPE,0.00039495509159531185
route_BKIPVG,0.0003945090204582568
route_HGHJOG,0.00039301214053738846
route_MAAOOL,0.00039258457551172695
route_KNOPVG,0.00039156623615434796
route_BDOSYD,0.00039001359432080983
route_KNOSYD,0.000384181253058872
route_BKIKTM,0.0003827121559634952
route_PEKSBW,0.000376175601418478
route_MELPVG,0.0003747815304746551
route_KIXRGN,0.000372228883842744
route_BLRSYD,0.0003705329330281446
route_CTUSYD,0.0003697691346003744
route_DPSXIY,0.0003663491652349126
route_HYDMEL,0.00036531855600047
route_ICNMEL,0.0003637454220555563
route_MFMPER,0.00036249967294578494
route_DPSSYD,0.00036065212592288886
route_LGKSYD,0.0003598338100225218
route_OOLSIN,0.00035966718464114746
booking_origin_Sweden,0.000350379095564238
route_CNXPVG,0.000350350965025953
route_PVGTWU,0.00034812856214778905
route_HANPER,0.00034774175004079915
route_CNXPER,0.0003441891816714713
route_CTSDPS,0.0003435998294630367
route_KBRPEK,0.0003422843432910437
route_HKTMEL,0.00034016537561684657
route_DELMEL,0.0003395139387613713
route_CANSYD,0.0003393937348899125
route_KIXLOP,0.00033918742359612147
route_PEKSYD,0.0003389895792747362
route_PERSZX,0.00033790966194649133
route_CMBPEK,0.0003370554714019641
route_OOLTPE,0.00033589893577462045
route_CNXSYD,0.0003352053166745909
route_KIXKNO,0.0003351911760225651
route_LOPPEK,0.00033202827955305014
route_KIXPER,0.00033196760032003117
route_MELTRZ,0.00033006238324229483
route_JOGPVG,0.0003297836306369176
route_CTUKCH,0.00032926469069823223
route_LBUPER,0.00032684830258676584
route_MAAPER,0.0003258398931682272
route_HGHSYD,0.0003235493821574137
route_KTMSIN,0.0003212681139390198
route_OOLSZX,0.0003211445716252398
route_ICNSUB,0.00032035534527681493
route_HKTWUH,0.00031906684722586933
route_JOGSYD,0.000318357810491091
route_CTUSIN,0.0003180775066086273
route_KIXMEL,0.0003116299868111511
route_CGKHGH,0.00031065238253685584
route_DMKHGH,0.0003102501040082943
route_ICNOOL,0.0003083204532425753
route_HNDRGN,0.0003050393296359964
route_HDYPER,0.0003040231205649355
route_BDOPER,0.000303504887928947
route_MYYSYD,0.00030257463640852316
route_HYDPER,0.0003012002082499562
booking_origin_Laos,0.0003000161210187877
route_PNHTPE,0.0002972958834709497
route_DPSWUH,0.00029717759022767715
route_CMBSYD,0.0002962448454074829
route_SDKSYD,0.0002948798973384547
route_SBWSYD,0.00029440361875419056
route_KBRPVG,0.0002938518670566905
route_MELVTZ,0.0002929015987355707
route_CTUJHB,0.0002908652609533908
route_DELPEN,0.0002900406364659601
route_SINXIY,0.0002899522616734797
route_DACSYD,0.00028989597950020515
route_HKGMRU,0.00028699326361649927
route_CMBKIX,0.0002860706370530075
route_DMKMRU,0.00028539684812115397
route_HGHSUB,0.00028420781602185656
route_CTSSGN,0.00028420678209475274
route_KNOOOL,0.0002788746746698859
route_CTUMEL,0.0002769456376715637
route_SINWUH,0.0002768517557319032
route_DADOOL,0.00027539934085519277
route_HGHKCH,0.00027514343528229897
route_HGHTRZ,0.0002724180577829836
route_AKLPEK,0.00027097267620641613
route_AORKIX,0.00026955268178992286
route_DMKPVG,0.0002653071428899857
route_OOLTRZ,0.00026524905092461805
route_ICNTGG,0.0002543292396052277
route_KNOMEL,0.0002538717352352884
route_BKIXIY,0.00025331485936148766
route_CCUOOL,0.00025293678459681476
route_KNOPUS,0.00025292790092549443
route_HANMEL,0.00025229228089045243
route_MRUSYD,0.0002507682920986584
route_MRUSIN,0.00025032867700635936
route_HNDKBR,0.0002501278516954595
route_KTMSGN,0.0002487739205343158
route_KIXLGK,0.0002487141148729204
route_DMKPUS,0.00024747851154058553
route_PERTRZ,0.00024630123382630845
